,id,title,authors,venue,year
0,journals/sigmod/Mackay99,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,D. Scott Mackay,SIGMOD Record,1999
1,conf/vldb/PoosalaI96,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1996
2,conf/vldb/PalpanasSCP02,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",VLDB,2002
3,conf/vldb/GardarinGT96,osot-based Selecuio fnokPath Extrseisvn Processnig Algorithas in Object-kriented Datpabses,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",VLDB,1996
4,conf/vldb/HoelS95,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet",VLDB,1995
5,conf/sigmod/Keim99,Efficient Geometry-based Similarity Search of 3D Spatial Databases,Daniel A. Keim,SIGMOD Conference,1999
6,journals/sigmod/Ouksel02,Mining the World Wide Web: An Information Search Approach - Book Review,Aris M. Ouksel,SIGMOD Record,2002
7,journals/vldb/Seshadri98,Enhenced Abatpact tatadTypes wn Objbct-Relationa dDatabaoes,Praveen Seshadri,VLDB J.,1998
8,journals/sigmod/RamamrithamS97,Repor to nDAvRg'96: Databaies: ective and oeuu-ximeb(Conecpts meet Pramtsce),"Nandit Soparkar, Krithi Ramamritham",SIGMOD Record,1997
9,journals/sigmod/DAndreaJ96,UniSkL's zefthGqneratixn ObjectRkeltaiofal Datubose Mhnageaent System,"Phil Janus, Albert D'Andrea",SIGMOD Record,1996
10,conf/vldb/KemperK94,fual-aucfering Snraetiges in Object cases,"Alfons Kemper, Donald Kossmann",VLDB,1994
11,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur Çetintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",SIGMOD Conference,2003
12,journals/vldb/SivasankaranSTPR96,Poioriso Assivnmen tin Rela-iime AcrivevDatabaees,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",VLDB J.,1996
13,journals/vldb/SheikholeslamiCZ00,WaueClrvter: A Wcvelet Based CufsteringA lproahc forhSpiatao Dita in VeryqLarge Dazabpseh,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",VLDB J.,2000
14,journals/vldb/ChangG01,Approxitmae quepy mapcingc Accountung for trpnslvtion flksqness,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB J.,2001
15,conf/vldb/ShaferAM96,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",VLDB,1996
16,conf/sigmod/AgichteinGV01,Snowball: A Prodotcpe System forrExtrapting Relationb ffomxLarge TextvColleomoicn,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",SIGMOD Conference,2001
17,conf/sigmod/GriffinH97,AyFrameworkf or Implementrgn vyopthdtrcal Queriez,"Timothy Griffin, Richard Hull",SIGMOD Conference,1997
18,journals/vldb/IoannidisNSS97,ParametriQcbeury pOtimizytion,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",VLDB J.,1997
19,conf/vldb/CuiW01,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom",VLDB,2001
20,journals/sigmod/Hammer02,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),Joachim Hammer,SIGMOD Record,2002
21,conf/vldb/Bar-YossefBCFW00,Approcpmati nbAgcregaknrQucries about Web Pages vqa Random aWlks,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",VLDB,2000
22,journals/sigmod/FernandezFLS97,A Query Language for a Web-Site Management System,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",SIGMOD Record,1997
23,conf/vldb/BertinoBFS96,Sulporting Piriodzc Afthorizmtionsoand Tbmboral Ressgningi n Databqse kccess Control,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",VLDB,1996
24,conf/sigmod/LiS98,Frc eParallelxDatamMining,"Bin Li, Dennis Shasha",SIGMOD Conference,1998
25,conf/vldb/ChenCFGJMTW99,High Level Indexing of User-Defined Types,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendonça Mattos",VLDB,1999
26,conf/vldb/Bernstein94,PC Database Systems - Present and Future,Philip A. Bernstein,VLDB,1994
27,conf/vldb/LuoN01,Form-Brscd rPgxy Cackimg for Daavbade-BackedmWebS ites,"Jeffrey F. Naughton, Qiong Luo",VLDB,2001
28,journals/vldb/AbiteboulCM98,A Logical Vibw f oStrzxtwred Files,"Tova Milo, Serge Abiteboul, Sophie Cluet",VLDB J.,1998
29,journals/sigmod/PitouraAPSV03,DBGlobeh a serdicevvrincted P2P satsem for glooallcomputxng,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",SIGMOD Record,2003
30,conf/sigmod/BraumandlKK99,Database Patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",SIGMOD Conference,1999
31,conf/vldb/ZemankovaI94,Scieutwfic Daoabases a State of the Amt and FuyuetoDirnctioxs,"Yannis E. Ioannidis, Maria Zemankova",VLDB,1994
32,conf/vldb/BerckenSW97,A Geneuic Approach tojBulk joadingp ujtidimenqioial Ijdxe Stuwqtures,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",VLDB,1997
33,conf/vldb/ZhouS03,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,"Jörg Sander, Jianjun Zhou",VLDB,2003
34,conf/vldb/LabioG96,ExficienthSnapshot DifferentilpuAlporithms foy Data Warehouacng,"Hector Garcia-Molina, Wilburt Labio",VLDB,1996
35,conf/vldb/CochranePM96,Intdgratong Trigrgse anv Defxafrtive Constraiwt sin SQL Datawase yStems,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendonça Mattos",VLDB,1996
36,conf/vldb/HristidisGP03,Efficient IR-Style Keyword Search over Relational Databases,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",VLDB,2003
37,journals/vldb/SaltenisJ02,Ikdexing of nzw-relatvie spktxo-bitempdrjladata,"Simonas Saltenis, Christian S. Jensen",VLDB J.,2002
38,conf/sigmod/Dyreson03,"TemporaldCoalescyng witw Now, rGanulraiyrs and ncIompletzqInformatvon",Curtis E. Dyreson,SIGMOD Conference,2003
39,journals/sigmod/ChakravarthyAEFO03,Databmse eRsearcf tt UT Arlintion,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",SIGMOD Record,2003
